Directors,Title
Brent Hodge,1
Brent Maddock,1
Brett Gaylor,1
Brett Haley,4
Brett Harvey,1
Brian A. Metcalf,1
Brian A. Miller,1
Brian Austin Green,1
Brian De Palma,3
Brian Fee,1
Brian Helgeland,1
Brian Henson,1
"Brian Henson,David Lane",1
Brian James O'Connell,1
Brian Jun,1
"Brian Klugman,Lee Sternthal",1
Brian Knappenberger,2
Brian Kosisky,1
Brian Levant,1
Brian O'Malley,1
Brian Pimental,1
Brian Savelson,1
Brian Smith,1
Brian Smrz,1
Brian Taylor,1
Brian Trenchard-Smith,2
Brian Yuzna,3
Bridey Elliott,1
"Bridget Savage Cole,Danielle Krudy",1
Brie Larson,1
Bruce Beresford,3
Bruce Brown,2
Bruce Gowers,1
"Bruce Guthrie,Alan Hruska",1
Bruce Hendricks,2
"Bruce Malmuth,Gary Nelson",1
Bruce McDonald,1
Bruce Neibaur,1
Bruce Pittman,1
Bruce Robinson,2
Bruce Thierry Cheung,1
Bruce W. Smith,1
Bryan Bertino,1
"Bryan Carberry,Clay Tweel",1
Bryan Fogel,1
Bryan Forbes,1
"Bud Clayman,Glenn Holsten,Scott Johnston",1
Budd Boetticher,1
Buddy Giovinazzo,1
Bumpy,1
Burny Mattinson,1
Burr Steers,1
Burt Kennedy,2
Burt Lancaster,1
"Byron Howard,Chris Williams",1
"Byron Howard,Rich Moore,Jared Bush",1
Byung-gil Jung,1
Callie Khouri,1
"Cameron Cairnes,Colin Cairnes",1
Cameron Crowe,2
Cameron Yates,1
Camilla Hall,1
Camille Delamarre,1
"Campbell Scott,Stanley Tucci",1
Caradog W. James,1
"Carl Boese,Paul Wegener",1
"Carl Deal,Tia Lessin",2
Carl Franklin,1
Carles Torrens,1
Carlo Carlei,1
"Carlos Carcas,Norberto López Amado",1
Carlos Lechuga,1
Carlos Marques-Marcet,1
"Carlos Sanchez,Jason Sanchez",1
Carlos Vermut,1
Carly Stone,1
Carrie Preston,1
Carroll Ballard,1
Carter,1
Cary Joji Fukunaga,2
Cary Medoway,1
Caryn Waechter,2
Casey Affleck,1
Casper Andreas,1
Cate Shortland,1
Catherine Corsini,2
Catherine Hardwicke,2
"Cathryn Michon,Guy Shalem",1
Cathy Randall,1
Cesc Gay,1
Cess Silvera,1
Chad Archibald,1
Chad Gracia,1
Chad Hartigan,2
Chan-wook Park,2
Chang-dong Lee,1
Chanya Button,1
"Chapman Way,Maclain Way",1
"Charles A. Addessi,William DeMeo",1
Charles B. Pierce,1
Charles Barton,2
Charles Binamé,1
"Charles Guard,Thomas Guard",1
Charles Haid,1
Charles Hood,1
Charles Martin Smith,3
Charles Officer,2
Charles Poekel,1
"Charles Reisner,Buster Keaton",1
Charles Shyer,1
Charles Stone III,2
Charles de Lauzirika,1
Charlie Bean,1
Charlie McDowell,2
Charlie Minn,1
Charlie Siskel,1
Charlie Stratton,1
Che Sandoval,1
Cheryl Dunye,1
Chi-Leung Law,1
Chiara Clemente,1
"Chih-Yen Hsu,Mag Hsu",1
Chiwetel Ejiofor,1
Chris Addison,1
Chris Baugh,1
"Chris Bell,Josh Alexander,Greg Young",1
Chris Bouchard,1
Chris Brown,1
"Chris Buck,Jennifer Lee",2
Chris Butler,1
Chris Carter,1
Chris Columbus,1
Chris Dowling,1
Chris Eska,1
Chris Eyre,1
Chris Fisher,1
Chris Foggin,1
Chris Gerolmo,1
Chris Kelly,1
Chris Koch,2
Chris McCoy,1
Chris Messina,1
Chris Moukarbel,1
Chris Nahon,1
Chris Nelson,2
Chris Paine,2
Chris Peckover,1
Chris Perkel,1
"Chris Renaud,Jonathan del Val",1
Chris Smith,2
Chris Ver Wiel,1
"Chris Wedge,Carlos Saldanha",1
Chris Weitz,2
"Chris Weitz,Paul Weitz",1
Christian Alvart,1
Christian Cantamessa,1
Christian Carion,1
Christian Charles,1
"Christian Desmares,Franck Ekinci",1
Christian Ditter,1
Christian E. Christiansen,1
Christian Gudegast,1
Christian Petzold,1
Christiane Cegavske,1
Christie Will Wolf,1
Christina Choe,1
"Christina Clusiau,Shaul Schwarz",1
Christina Wayne,1
Christine Jeffs,1
Christophe Honoré,2
"Christopher Caldwell,Zeek Earl",1
Christopher Denham,1
Christopher Dillon Quinn,1
Christopher Duddy,1
Christopher Guest,1
Christopher Leitch,1
Christopher Louie,1
Christopher McQuarrie,2
Christopher Morris,1
Christopher N. Rowley,1
Christopher Nolan,3
"Christopher Radcliff,Lauren Wolkstein",1
Christopher Smith,3
"Chuck Konzelman,Cary Solomon",1
Chuck Russell,2
Chuck Sheetz,1
Ciarán Foy,1
Cindy Chupack,1
Cindy Kleine,1
Ciro Guerra,1
Claire Denis,3
Clark Johnson,1
Claude Barras,1
Claude Chabrol,1
Claudia Llosa,1
Claudia Myers,1
Clay Jeter,1
Clay Kaytis,1
Clay Staub,1
Clay Tweel,2
Clement Virgo,1
Clint Eastwood,3
Clio Barnard,1
Clive Barker,2
Clive Donner,1
Clive Saunders,1
Clive Tonge,1
"Clyde Bruckman,Buster Keaton",1
"Clyde Geronimi,Hamilton Luske,Wolfgang Reitherman",1
"Clyde Geronimi,Wilfred Jackson,Jack Kinney,Hamilton Luske",1
Cody Calahan,1
Col Spector,1
Colette Burson,1
Coley Sohn,1
Colin Eggleston,1
"Colin Minihan,Stuart Ortiz,The Vicious Brothers",1
Colm McCarthy,1
Conrad Jackson,1
"Constance Marks,Philip Shane",1
Corinna McFarlane,1
Cory Bowles,1
Courteney Cox,1
Craig Anderson,1
Craig Brewer,4
Craig Gillespie,3
Craig Goodwill,1
Craig Johnson,2
Craig Monahan,1
Craig Moss,1
Craig Roberts,1
Craig Rosenberg,1
Craig Scott Rosebraugh,1
Craig Teper,1
Craig Zisk,1
Cristi Puiu,1
Cristian Mungiu,1
"Cristina Costantini,Darren Foster",1
Crystal Moselle,1
Cullen Hoback,1
Curt Siodmak,1
Curtis Hanson,2
Curtis Harrington,2
Cynthia Hill,1
"Cyril Dion,Mélanie Laurent",1
Cyril Frankel,1
Cédric Jimenez,1
Cédric Klapisch,1
Céline Sciamma,1
"César Charlone,Enrique Fernández",1
D.W. Griffith,5
D.W. Young,1
Daina Reid,1
Damian Harris,1
Damian Nieman,1
Damien Dante Wayans,1
Damien Leone,1
Damon Cardasis,1
Damon Gameau,1
"Dan Berk,Robert Olsen",1
Dan Bush,3
Dan Curtis,1
"Dan DeVivo,Joseph Mathew",1
Dan Fogelman,2
Dan Forrer,1
Dan Gilroy,1
Dan Gregor,1
Dan Harris,1
Dan Hayes,1
Dan Ireland,1
Dan Krauss,1
"Dan Kwan,Daniel Scheinert",1
Dan Mirvish,1
Dan O'Bannon,1
Dan Pritzker,1
Dan Scanlon,2
Dana Lustig,1
Dani Menkin,1
Danial Donai,1
Daniel Alfredson,2
Daniel Barber,2
Daniel Benmayor,1
Daniel Calparsoro,2
Daniel Duran,1
Daniel Espinosa,1
Daniel Farrands,1
Daniel Goldhaber,1
Daniel Gray Longino,1
Daniel J. Clark,1
Daniel Kokotajlo,1
Daniel Lee,1
"Daniel Lindsay,T.J. Martin",2
Daniel MacIvor,1
Daniel Monzón,1
Daniel Park,1
Daniel Patrick Carbone,1
Daniel Raim,1
Daniel Sackheim,1
Daniel Stamm,1
Daniel Stern,1
Daniel Wolfe,1
Daniel Zelik Berk,1
Danièle Thompson,1
Danny Boyle,3
Danny Green,1
Danny Leiner,1
Danny Mooney,1
Danny O'Connor,1
"Danny Pang,Oxide Chun Pang",1
Danny Provenzano,1
Dante Ariola,1
Dante Lam,2
Dario Argento,4
"Dario Argento,George A. Romero",1
Darnell Martin,1
Darragh Byrne,1
Darrell Roodt,1
"Darrell Rooney,Jeannine Roussel",1
"Darrell Rooney,Rob LaDuca",1
Darren Aronofsky,1
"Darren Grodsky,Danny Jacobs",1
Darren Lynn Bousman,3
"Darren Lynn Bousman,Axelle Carolyn,Adam Gierasch,Andrew Kasch,Neil Marshall,Lucky McKee,Mike Mendez,Dave Parker,Ryan Schifrin,John Skipp,Paul Solet",1
Darren Stein,1
Dash Shaw,1
Dava Whisenant,1
Dave Green,1
"David Alonso,Enrique Gato",1
"David Alvarado,Jason Sussberg",1
"David Amito,Michael Laicini",1
David Ayer,4
"David Benioff,D.B. Weiss",1
"David Beton,James Nunn",1
David Breashears,1
David Bruckner,1
David Burkman,1
David Burris,1
"David Butler,John Ford",1
David Caffrey,1
David Cronenberg,5
"David Deschamps,Leslie D. Farrell,Bennett Singer",1
David Devine,1
David Dhawan,1
David Duchovny,1
David E. Talbert,1
David Fairhead,1
"David Farrier,Dylan Reeve",1
David Fincher,4
David Flatman,1
David France,1
David Gelb,1
David Gleeson,1
David Gordon Green,2
David Greenwalt,1
David Gregory,1
David Grossman,1
David Guy Levy,1
David Hartman,1
David Heinz,1
David Howard,1
David Jacobson,1
David Keating,2
David Koepp,1
"David Krentz,Erik Nelson,David E. Duncan",1
David L. Cunningham,1
David L.G. Hughes,2
David Lee Miller,1
David Leon,1
David Leveaux,1
David Lowery,2
David Lynch,2
David M. Rosenthal,1
David Mackenzie,6
David Mamet,2
David Michôd,3
David Mickey Evans,2
David Miller,1
David Mirkin,1
"David Morris,Jacqui Morris",1
David Nath,1
"David Nixon,Patrick Doughtie",1
David O. Russell,2
David Oelhoffen,1
"David Palmer,Dax Shepard",1
"David Pastor,Àlex Pastor",3
David R. Ellis,4
David Raymond,1
David Raynr,1
"David Redmon,Ashley Sabin",1
David Robert Mitchell,2
David Ross,1
David Russo,1
David Rühm,1
David S. Ward,1
David Salle,1
"David Salzberg,Christian Tureaud",1
David Schisgall,1
David Silverman,1
David Sington,1
"David Sington,Heather Walsh",1
David Slade,1
David Smith,1
David Soren,1
David Stevens,1
David Swift,1
"David T. Friendly,Mick Partridge",1
David Thorpe,1
David Wain,1
"David Weissman,Bill Weber",1
David Wnendt,1
David Worth,1
David Yates,1
"David Zellner,Nathan Zellner",1
David Zucker,4
Davis Guggenheim,2
Dawn Porter,1
Dean Craig,1
Dean Cundey,1
Dean DeBlois,1
"Dean DeBlois,Chris Sanders",1
Dean Devlin,1
Dean Parisot,1
Dean Wright,1
Deborah Chow,2
Deborah Haywood,1
Deborah S. Esquenazi,1
Debra Granik,1
Dee Rees,2
Deepak Rauniyar,1
Del Shores,3
Delmer Daves,1
Demetri Martin,1
Denis Henry Hennelly,1
Denis Sanders,1
Denis Villeneuve,2
Deniz Gamze Ergüven,1
Dennie Gordon,2
Dennis Hopper,1
Denys Arcand,2
Deon Taylor,2
Derek Cianfrance,1
Derek Dennis Herbert,1
Derick Martini,1
Derrick Borte,1
Des Doyle,1
Destin Daniel Cretton,1
Devashish Makhija,1
Dharmendra Suresh Desai,1
"Diane Crespo,Stefan C. Schaefer",1
"Dianna Agron,Peter Chelsom,Claus Clausen,Fernando Eimbcke,Justin Franklin,Dennis Gansel,Dani Levy,Daniel Lwowski,Stephanie Martin,Josef Rusnak,Til Schweiger,Massy Tadjedin,Gabriela Tscherniak",1
Dianne Dreyer,1
Dick Maas,2
Dictynna Hood,1
Diego Hallivis,1
Diego Luna,2
Dietrich Brüggemann,1
Dilip Mehta,1
Dimitri Logothetis,1
Dinesh Vijan,1
Director X.,1
Dirk Simon,1
Dito Montiel,1
Dmitrii Kalashnikov,1
Dome Karukoski,1
Dominic Cooke,1
Dominic Gill,1
Dominic Savage,1
Dominic Sena,1
Dominik Graf,1
"Dominique Abel,Fiona Gordon",1
Dominique Rocher,1
"Don Argott,Sheena M. Joyce",1
"Don Bluth,Gary Goldman",3
"Don Bluth,Gary Goldman,Dan Kuenster",1
Don Chaffey,1
Don Coscarelli,2
Don Hahn,1
"Don Hall,Chris Williams",1
Don Mancini,1
Don McKellar,1
Don Michael Paul,1
Don Roos,1
Don Sharp,1
Don Siegel,1
Don Weis,1
"Donal Mosher,Michael Palmieri",1
Donald Cammell,1
Donald Petrie,2
Donovan Cook,1
Dorie Barton,1
"Doron Paz,Yoav Paz",1
"Dorota Kobiela,Hugh Welchman",1
Doug Lefler,1
Doug Liman,2
Doug Pray,2
Doug Walker,1
Douglas Cheek,1
Douglas McCarthy,1
Douglas McGrath,1
Drake Doremus,3
Drew Barrymore,1
Drew Goddard,1
Dror Zahavi,1
Dru Brown,1
Duane Journey,1
"Dudley Murphy,William C. de Mille",1
Duncan Jones,2
Duncan Skiles,1
Dusan Makavejev,1
Dustin Hoffman,1
Duwayne Dunham,3
Dwight H. Little,2
Dylan Baker,1
"Dylan Bank,Daniel DiMauro,Morgan Pehme",1
Dylan Brown,1
Dylan Mohan Gray,1
E.L. Katz,1
Ed Gass-Donnelly,2
Ed Perkins,1
Eddie Mensore,1
Eddie Mullins,1
Edgar G. Ulmer,2
"Edgar G. Ulmer,Douglas Sirk",1
Edgar Wright,1
Edmon Roch,1
Edoardo Ponti,1
Edward Burns,1
Edward D. Wood Jr.,4
Edward Dmytryk,1
"Edward Dmytryk,Irving Reis",1
"Edward McHenry,Rory McHenry",1
Edward Zwick,5
Eileen Yaghoobian,1
Eitan Arrusi,1
Ekachai Uekrongtham,1
Elaine Constantine,1
Elaine McMillion Sheldon,1
"Eli B. Despres,Kim Roberts",1
Eli Craig,2
Eli Roth,2
Elia Suleiman,1
Elie Wajeman,1
Elijah Bynum,1
Elijah Drenner,2
Elisabeth Vogler,1
Elite Zexer,1
Eliza Hittman,2
"Elizabeth Banks,Steven Brill,Steve Carr,Rusty Cundieff,James Duffy,Griffin Dunne,Peter Farrelly,Patrik Forsberg,Will Graham,James Gunn,Brett Ratner,Jonathan van Tulleken,Bob Odenkirk",2
Elizabeth Chomko,1
Elizabeth Wood,1
Elle Callahan,1
"Ellen Hovde,Albert Maysles,David Maysles,Muffie Meyer",1
Elliot Hegarty,1
Elliot Silverstein,1
Elliott Nugent,1
"Elmer Clifton,Ida Lupino",1
Elva NelsonHayes,1
Elvira Lind,1
Emanuel Hoss-Desmarais,2
Emile Ardolino,2
Emilio Aragón,1
Emilio Martínez Lázaro,1
Emily James,1
Emily Ting,1
Emma Franz,1
Emmanuel Carrère,1
